date,closing_price,symbol,type
2023-10-13,106.65,DXY,index
2023-10-12,106.57,DXY,index
2023-10-11,105.82,DXY,index
2023-10-10,105.83,DXY,index
2023-10-09,106.08,DXY,index
2023-10-06,106.04,DXY,index
2023-10-05,106.33,DXY,index
2023-10-04,106.8,DXY,index
2023-10-03,107.0,DXY,index
2023-10-02,106.9,DXY,index
2023-10-01,106.239,DXY,index
2023-09-29,106.17,DXY,index
2023-09-28,106.22,DXY,index
2023-09-27,106.67,DXY,index
2023-09-26,106.23,DXY,index
2023-09-25,106.0,DXY,index
2023-09-24,105.558,DXY,index
2023-09-22,105.58,DXY,index
2023-09-21,105.36,DXY,index
2023-09-20,105.16,DXY,index
2023-09-19,105.2,DXY,index
2023-09-18,105.2,DXY,index
2023-09-15,105.32,DXY,index
2023-09-14,105.41,DXY,index
2023-09-13,104.77,DXY,index
2023-09-12,104.71,DXY,index
2023-09-11,104.57,DXY,index
2023-09-08,105.09,DXY,index
2023-09-07,105.06,DXY,index
2023-09-06,104.86,DXY,index
2023-09-05,104.81,DXY,index
2023-09-04,104.136,DXY,index
2023-09-03,104.218,DXY,index
2023-09-01,104.24,DXY,index
2023-08-31,103.62,DXY,index
2023-08-30,103.16,DXY,index
2023-08-29,103.55,DXY,index
2023-08-28,104.06,DXY,index
2023-08-27,104.187,DXY,index
2023-08-25,104.08,DXY,index
2023-08-24,103.98,DXY,index
2023-08-23,103.36,DXY,index
2023-08-22,103.56,DXY,index
2023-08-21,103.33,DXY,index
2023-08-18,103.38,DXY,index
2023-08-17,103.44,DXY,index
2023-08-16,103.42,DXY,index
2023-08-15,103.21,DXY,index
2023-08-14,103.19,DXY,index
2023-08-13,102.972,DXY,index
2023-08-11,102.84,DXY,index
2023-08-10,102.52,DXY,index
2023-08-09,102.49,DXY,index
2023-08-08,102.53,DXY,index
2023-08-07,102.05,DXY,index
2023-08-04,102.02,DXY,index
2023-08-03,102.54,DXY,index
2023-08-02,102.59,DXY,index
2023-08-01,102.3,DXY,index
2023-07-31,101.86,DXY,index
2023-07-28,101.62,DXY,index
2023-07-27,101.77,DXY,index
2023-07-26,100.89,DXY,index
2023-07-25,101.35,DXY,index
2023-07-24,101.35,DXY,index
2023-07-23,101.034,DXY,index
2023-07-21,101.07,DXY,index
2023-07-20,100.88,DXY,index
2023-07-19,100.28,DXY,index
2023-07-18,99.94,DXY,index
2023-07-17,99.84,DXY,index
2023-07-14,99.91,DXY,index
2023-07-13,99.77,DXY,index
2023-07-12,100.52,DXY,index
2023-07-11,101.73,DXY,index
2023-07-10,101.97,DXY,index
